Time, Temp (C), Humidity (%)
2022-01-28 23:15:01.538472, 18.1, 63.0
2022-01-28 23:15:06.624781, 18.1, 63.0
2022-01-28 23:15:16.792713, 18.1, 63.0
2022-01-28 23:15:32.043246, 18.1, 63.0
2022-01-28 23:15:42.212508, 18.1, 63.0
2022-01-28 23:15:47.298998, 18.1, 63.0
2022-01-28 23:15:52.382582, 18.1, 63.0
2022-01-28 23:16:07.634971, 18.1, 63.0
2022-01-28 23:16:12.721309, 18.1, 63.0
2022-01-28 23:16:17.807689, 18.1, 63.0
2022-01-28 23:16:22.894594, 18.1, 63.0
2022-01-28 23:16:38.145092, 18.1, 63.0
2022-01-28 23:16:43.231401, 18.1, 63.0
2022-01-28 23:16:53.396051, 18.1, 63.0
2022-01-28 23:17:03.565160, 18.1, 63.0
2022-01-28 23:17:08.651659, 18.1, 63.0
2022-01-28 23:17:13.736393, 18.1, 63.0
2022-01-28 23:17:23.905047, 18.1, 63.0
2022-01-28 23:17:34.073097, 18.1, 63.0
2022-01-28 23:17:39.158996, 18.1, 63.0
2022-01-28 23:17:44.245306, 18.1, 63.0
2022-01-28 23:17:54.414615, 18.1, 63.0
2022-01-28 23:17:59.501625, 18.1, 63.0
2022-01-28 23:18:04.586665, 18.1, 63.0
2022-01-28 23:18:09.670823, 18.0, 63.0
2022-01-28 23:18:14.752590, 18.1, 63.0
2022-01-28 23:18:19.836836, 18.0, 63.0
